Filled container:
Container contains 10000 elements.
1: It is Fish : name = Imahd, weight = 999107, value = 0.000483, place = OCEAN
53: It is Beast: name = Osijc, weight = 995242, value = 0.000506, type = PREDATOR
54: It is Beast: name = Bkxam, weight = 984895, value = 0.000507, type = INSECTIVORES
55: It is Beast: name = Nplif, weight = 996242, value = 0.000507, type = INSECTIVORES
56: It is Fish : name = Btsih, weight = 998125, value = 0.000507, place = SEA
57: It is Fish : name = Cielm, weight = 966105, value = 0.000507, place = RIVER
58: It is Beast: name = Bhock, weight = 959933, value = 0.000507, type = INSECTIVORES
59: It is Bird : name = Cebrj, weight = 957513, value = 0.000508, fly away = TRUE
60: It is Fish : name = Fgmgf, weight = 958464, value = 0.000508, place = LAKE
61: It is Bird : name = Bpuah, weight = 976025, value = 0.000508, fly away = FALSE
62: It is Fish : name = Rfddi, weight = 961008, value = 0.000509, place = RIVER
63: It is Bird : name = Bmola, weight = 964549, value = 0.000509, fly away = TRUE
64: It is Beast: name = Jrkcq, weight = 995769, value = 0.000509, type = HERBIVORES
65: It is Beast: name = Onpdf, weight = 987811, value = 0.000509, type = PREDATOR
66: It is Beast: name = Wnfca, weight = 971929, value = 0.000509, type = INSECTIVORES
67: It is Bird : name = Iobfg, weight = 955945, value = 0.000509, fly away = TRUE
68: It is Fish : name = Jllml, weight = 994943, value = 0.000510, place = RIVER
69: It is Beast: name = Sebap, weight = 963088, value = 0.000510, type = INSECTIVORES
70: It is Fish : name = Fohqc, weight = 974764, value = 0.000510, place = SEA
71: It is Fish : name = Jbnpk, weight = 982418, value = 0.000510, place = SEA
72: It is Beast: name = Pbecq, weight = 962148, value = 0.000510, type = INSECTIVORES
73: It is Beast: name = Eqych, weight = 991148, value = 0.000511, type = PREDATOR
74: It is Beast: name = Qyfka, weight = 994987, value = 0.000511, type = PREDATOR
75: It is Fish : name = Ljpub, weight = 996539, value = 0.000511, place = OCEAN
76: It is Bird : name = Nubdt, weight = 996305, value = 0.000511, fly away = FALSE
77: It is Fish : name = Fseqf, weight = 980577, value = 0.000511, place = LAKE
78: It is Bird : name = Czmma, weight = 985779, value = 0.000511, fly away = FALSE
79: It is Fish : name = Deqdp, weight = 966034, value = 0.000511, place = LAKE
80: It is Fish : name = Kerkp, weight = 995056, value = 0.000512, place = LAKE
81: It is Beast: name = Fwajm, weight = 979332, value = 0.000512, type = PREDATOR
82: It is Bird : name = Dokeu, weight = 985101, value = 0.000512, fly away = TRUE
83: It is Bird : name = Ihlyg, weight = 994815, value = 0.000512, fly away = TRUE
84: It is Fish : name = Mckzf, weight = 990741, value = 0.000512, place = SEA
85: It is Bird : name = Jbdbp, weight = 941672, value = 0.000512, fly away = FALSE
86: It is Beast: name = Vqmch, weight = 998282, value = 0.000512, type = INSECTIVORES
87: It is Beast: name = Crudh, weight = 980145, value = 0.000512, type = HERBIVORES
88: It is Beast: name = Riepb, weight = 972287, value = 0.000512, type = INSECTIVORES
89: It is Beast: name = Wexga, weight = 991540, value = 0.000512, type = INSECTIVORES
90: It is Beast: name = Lhtfn, weight = 991383, value = 0.000512, type = HERBIVORES
91: It is Fish : name = Msacp, weight = 975377, value = 0.000513, place = RIVER
92: It is Bird : name = Kijgt, weight = 984453, value = 0.000513, fly away = TRUE
93: It is Fish : name = Urbla, weight = 978322, value = 0.000513, place = OCEAN
94: It is Beast: name = Agefq, weight = 943082, value = 0.000513, type = HERBIVORES
95: It is Bird : name = Csskl, weight = 997236, value = 0.000513, fly away = FALSE
96: It is Beast: name = Jdier, weight = 961974, value = 0.000514, type = INSECTIVORES
97: It is Beast: name = Imahm, weight = 957618, value = 0.000514, type = PREDATOR
98: It is Bird : name = Cugvc, weight = 980932, value = 0.000514, fly away = FALSE
99: It is Beast: name = Niqas, weight = 988647, value = 0.000514, type = HERBIVORES
100: It is Bird : name = Injyc, weight = 990447, value = 0.000514, fly away = TRUE
101: It is Bird : name = Illpo, weight = 996267, value = 0.000514, fly away = TRUE
102: It is Fish : name = Dccpw, weight = 967030, value = 0.000514, place = SEA
103: It is Beast: name = Nakfq, weight = 967029, value = 0.000514, type = HERBIVORES
104: It is Beast: name = Facns, weight = 955035, value = 0.000514, type = HERBIVORES
105: It is Bird : name = Zcgfq, weight = 985591, value = 0.000514, fly away = FALSE
106: It is Bird : name = Eezvd, weight = 991112, value = 0.000515, fly away = FALSE
107: It is Bird : name = Csgoo, weight = 985273, value = 0.000515, fly away = TRUE
108: It is Beast: name = Hofbc, weight = 936478, value = 0.000515, type = HERBIVORES
109: It is Beast: name = Lhicf, weight = 944155, value = 0.000515, type = PREDATOR
110: It is Bird : name = Hwgaj, weight = 965515, value = 0.000515, fly away = FALSE
111: It is Beast: name = Ihkef, weight = 945686, value = 0.000515, type = PREDATOR
112: It is Bird : name = Sfjfx, weight = 995834, value = 0.000515, fly away = FALSE
113: It is Beast: name = Ngmav, weight = 979908, value = 0.000515, type = PREDATOR
114: It is Fish : name = Gdkgz, weight = 975664, value = 0.000516, place = RIVER
115: It is Beast: name = Ifqqf, weight = 975603, value = 0.000516, type = PREDATOR
116: It is Beast: name = Hjjau, weight = 965800, value = 0.000516, type = HERBIVORES
117: It is Fish : name = Gevlq, weight = 990603, value = 0.000516, place = RIVER
118: It is Beast: name = Bzghq, weight = 984714, value = 0.000516, type = PREDATOR
119: It is Bird : name = Hwgbb, weight = 949759, value = 0.000516, fly away = TRUE
120: It is Fish : name = Iiiak, weight = 943631, value = 0.000516, place = LAKE
121: It is Fish : name = Hmihj, weight = 960459, value = 0.000516, place = LAKE
122: It is Bird : name = Gkzam, weight = 979765, value = 0.000516, fly away = FALSE
123: It is Beast: name = Yngrd, weight = 999038, value = 0.000516, type = PREDATOR
124: It is Fish : name = Onild, weight = 971716, value = 0.000517, place = OCEAN
125: It is Bird : name = Ylhmj, weight = 998562, value = 0.000517, fly away = FALSE
126: It is Bird : name = Oepkh, weight = 973347, value = 0.000517, fly away = FALSE
127: It is Beast: name = Dbida, weight = 905561, value = 0.000517, type = PREDATOR
128: It is Beast: name = Gvlkf, weight = 978976, value = 0.000517, type = INSECTIVORES
129: It is Fish : name = Papgh, weight = 959523, value = 0.000517, place = LAKE
130: It is Fish : name = Alagx, weight = 953705, value = 0.000517, place = LAKE
131: It is Fish : name = Bzubp, weight = 996154, value = 0.000517, place = RIVER
132: It is Bird : name = Aslco, weight = 963169, value = 0.000517, fly away = TRUE
133: It is Fish : name = Ykoei, weight = 992177, value = 0.000517, place = SEA
134: It is Fish : name = Jgays, weight = 986372, value = 0.000517, place = OCEAN
135: It is Bird : name = Boiqt, weight = 988292, value = 0.000517, fly away = TRUE
136: It is Bird : name = Spyae, weight = 994061, value = 0.000517, fly away = TRUE
137: It is Bird : name = Aksku, weight = 988220, value = 0.000517, fly away = FALSE
138: It is Fish : name = Gjcqs, weight = 974602, value = 0.000517, place = SEA
139: It is Fish : name = Uclwd, weight = 987688, value = 0.000517, place = OCEAN
140: It is Beast: name = Odvbo, weight = 977383, value = 0.000518, type = PREDATOR
141: It is Beast: name = Hxaes, weight = 975336, value = 0.000518, type = HERBIVORES
142: It is Beast: name = Anomt, weight = 985341, value = 0.000519, type = PREDATOR
143: It is Fish : name = Fmicy, weight = 971832, value = 0.000519, place = LAKE
144: It is Bird : name = Cbvpx, weight = 992717, value = 0.000519, fly away = TRUE
145: It is Bird : name = Sgdox, weight = 996524, value = 0.000519, fly away = TRUE
146: It is Fish : name = Pnhmk, weight = 982941, value = 0.000519, place = OCEAN
147: It is Beast: name = Noopj, weight = 998296, value = 0.000519, type = HERBIVORES
148: It is Beast: name = Lhjzj, weight = 990436, value = 0.000519, type = INSECTIVORES
149: It is Fish : name = Sinas, weight = 982707, value = 0.000519, place = OCEAN
150: It is Bird : name = Tkbhg, weight = 954958, value = 0.000519, fly away = TRUE
151: It is Bird : name = Ibxjj, weight = 968297, value = 0.000519, fly away = TRUE
152: It is Fish : name = Liosl, weight = 991098, value = 0.000520, place = RIVER
153: It is Bird : name = Ugodv, weight = 994514, value = 0.000520, fly away = TRUE
154: It is Beast: name = Ypcko, weight = 996147, value = 0.000520, type = HERBIVORES
155: It is Fish : name = Fhyif, weight = 965364, value = 0.000520, place = LAKE
156: It is Fish : name = Qwcht, weight = 997901, value = 0.000520, place = RIVER
157: It is Fish : name = Eigyz, weight = 999758, value = 0.000520, place = RIVER
158: It is Fish : name = Bvivc, weight = 972702, value = 0.000520, place = LAKE
159: It is Fish : name = Lylbj, weight = 978378, value = 0.000520, place = SEA
160: It is Beast: name = Jhlim, weight = 961003, value = 0.000520, type = HERBIVORES
161: It is Bird : name = Lcmli, weight = 955203, value = 0.000520, fly away = FALSE
162: It is Fish : name = Qidbr, weight = 957063, value = 0.000520, place = RIVER
163: It is Fish : name = Tbudt, weight = 989620, value = 0.000520, place = OCEAN
164: It is Bird : name = Djrht, weight = 975954, value = 0.000521, fly away = TRUE
165: It is Beast: name = Cwlhc, weight = 954800, value = 0.000521, type = PREDATOR
166: It is Bird : name = Eyyld, weight = 996900, value = 0.000521, fly away = TRUE
167: It is Bird : name = Kwbvi, weight = 989045, value = 0.000521, fly away = FALSE
168: It is Beast: name = Ipgoi, weight = 967879, value = 0.000521, type = INSECTIVORES
169: It is Bird : name = Obsmi, weight = 971428, value = 0.000521, fly away = TRUE
170: It is Beast: name = Wcigv, weight = 982435, value = 0.000521, type = INSECTIVORES
171: It is Fish : name = Obaqu, weight = 966841, value = 0.000521, place = LAKE
172: It is Bird : name = Oximi, weight = 993677, value = 0.000521, fly away = FALSE
173: It is Bird : name = Pffma, weight = 939898, value = 0.000521, fly away = FALSE
174: It is Beast: name = Sikeu, weight = 983945, value = 0.000521, type = INSECTIVORES
175: It is Bird : name = Afydz, weight = 978105, value = 0.000521, fly away = TRUE
176: It is Beast: name = Savxe, weight = 995348, value = 0.000521, type = INSECTIVORES
177: It is Beast: name = Gagct, weight = 931681, value = 0.000522, type = HERBIVORES
178: It is Beast: name = Fwtau, weight = 994771, value = 0.000522, type = HERBIVORES
179: It is Fish : name = Dxbhk, weight = 952430, value = 0.000522, place = RIVER
180: It is Fish : name = Vgohu, weight = 998386, value = 0.000522, place = OCEAN
181: It is Beast: name = Idzkd, weight = 961909, value = 0.000522, type = HERBIVORES
182: It is Bird : name = Lijdp, weight = 955952, value = 0.000522, fly away = FALSE
183: It is Bird : name = Dfjma, weight = 923342, value = 0.000522, fly away = TRUE
184: It is Beast: name = Cyzbq, weight = 997976, value = 0.000522, type = HERBIVORES
185: It is Bird : name = Gzhbl, weight = 963111, value = 0.000522, fly away = TRUE
186: It is Bird : name = Gapnp, weight = 961158, value = 0.000522, fly away = TRUE
187: It is Bird : name = Acmad, weight = 899810, value = 0.000522, fly away = TRUE
188: It is Beast: name = Gemhv, weight = 962893, value = 0.000522, type = HERBIVORES
189: It is Beast: name = Kfppj, weight = 970501, value = 0.000522, type = INSECTIVORES
190: It is Beast: name = Xhdkk, weight = 968459, value = 0.000522, type = PREDATOR
191: It is Fish : name = Vshhb, weight = 970266, value = 0.000523, place = OCEAN
192: It is Bird : name = Gpqhb, weight = 953029, value = 0.000523, fly away = TRUE
193: It is Bird : name = Zucfm, weight = 989263, value = 0.000523, fly away = TRUE
194: It is Bird : name = Cxroj, weight = 990636, value = 0.000523, fly away = TRUE
195: It is Beast: name = Hywna, weight = 992319, value = 0.000523, type = INSECTIVORES
196: It is Fish : name = Nvkkp, weight = 997803, value = 0.000523, place = OCEAN
197: It is Fish : name = Otpdc, weight = 967164, value = 0.000523, place = LAKE
198: It is Beast: name = Htjfn, weight = 967068, value = 0.000523, type = PREDATOR
199: It is Fish : name = Halns, weight = 959098, value = 0.000523, place = LAKE
200: It is Bird : name = Ohylb, weight = 974275, value = 0.000523, fly away = FALSE
201: It is Fish : name = Cfmwx, weight = 987605, value = 0.000523, place = SEA
202: It is Beast: name = Kcjri, weight = 953020, value = 0.000524, type = HERBIVORES
203: It is Fish : name = Xbpkg, weight = 970208, value = 0.000524, place = RIVER
204: It is Bird : name = Xgafr, weight = 962446, value = 0.000524, fly away = TRUE
205: It is Fish : name = Anutc, weight = 968003, value = 0.000524, place = OCEAN
206: It is Beast: name = Mxfma, weight = 964180, value = 0.000524, type = PREDATOR
207: It is Bird : name = Nxjwd, weight = 998461, value = 0.000524, fly away = TRUE
208: It is Fish : name = Nkhiy, weight = 983169, value = 0.000524, place = OCEAN
209: It is Beast: name = Eqovm, weight = 992532, value = 0.000524, type = HERBIVORES
210: It is Beast: name = Czgrg, weight = 971491, value = 0.000524, type = HERBIVORES
211: It is Bird : name = Bgmcz, weight = 951915, value = 0.000524, fly away = FALSE
212: It is Fish : name = Nsibv, weight = 980490, value = 0.000524, place = RIVER
213: It is Beast: name = Dkyya, weight = 980390, value = 0.000524, type = INSECTIVORES
214: It is Beast: name = Rmwhn, weight = 999425, value = 0.000524, type = HERBIVORES
215: It is Bird : name = Edhxf, weight = 943951, value = 0.000524, fly away = TRUE
216: It is Bird : name = Uachy, weight = 964923, value = 0.000524, fly away = FALSE
217: It is Bird : name = Lript, weight = 997291, value = 0.000524, fly away = FALSE
218: It is Bird : name = Byubl, weight = 972427, value = 0.000524, fly away = TRUE
219: It is Fish : name = Hgdjy, weight = 957061, value = 0.000525, place = SEA
220: It is Bird : name = Ghvar, weight = 960681, value = 0.000525, fly away = TRUE
221: It is Beast: name = Ftvdj, weight = 972086, value = 0.000525, type = PREDATOR
222: It is Bird : name = Gpzdg, weight = 967745, value = 0.000525, fly away = TRUE
223: It is Beast: name = Diynb, weight = 956274, value = 0.000525, type = INSECTIVORES
224: It is Bird : name = Wgnpk, weight = 988652, value = 0.000525, fly away = FALSE
225: It is Bird : name = Ucxav, weight = 988589, value = 0.000525, fly away = FALSE
226: It is Fish : name = Ycdhg, weight = 942855, value = 0.000525, place = OCEAN
227: It is Bird : name = Domhp, weight = 959976, value = 0.000525, fly away = TRUE
228: It is Beast: name = Tfrdz, weight = 994070, value = 0.000525, type = PREDATOR
229: It is Bird : name = Bdkqb, weight = 921690, value = 0.000525, fly away = FALSE
230: It is Beast: name = Jbiso, weight = 957747, value = 0.000525, type = HERBIVORES
231: It is Beast: name = Ciqkc, weight = 934821, value = 0.000525, type = PREDATOR
232: It is Bird : name = Xckur, weight = 999527, value = 0.000525, fly away = FALSE
233: It is Fish : name = Chuah, weight = 930958, value = 0.000525, place = SEA
234: It is Fish : name = Ticcp, weight = 949942, value = 0.000525, place = RIVER
235: It is Fish : name = Boyul, weight = 995580, value = 0.000525, place = OCEAN
236: It is Beast: name = Jypdn, weight = 983965, value = 0.000525, type = PREDATOR
237: It is Bird : name = Zalcv, weight = 974374, value = 0.000525, fly away = TRUE
238: It is Bird : name = Evflk, weight = 958915, value = 0.000526, fly away = TRUE
239: It is Beast: name = Idvht, weight = 972200, value = 0.000526, type = HERBIVORES
240: It is Fish : name = Jgptx, weight = 998702, value = 0.000526, place = LAKE
241: It is Fish : name = Guuel, weight = 977545, value = 0.000526, place = RIVER
242: It is Fish : name = Ariyx, weight = 998461, value = 0.000526, place = OCEAN
243: It is Fish : name = Joeuw, weight = 992588, value = 0.000526, place = SEA
244: It is Bird : name = Oelxa, weight = 960185, value = 0.000526, fly away = TRUE
245: It is Bird : name = Fwtjd, weight = 971468, value = 0.000526, fly away = FALSE
246: It is Beast: name = Pjyak, weight = 971420, value = 0.000526, type = INSECTIVORES
247: It is Beast: name = Jsklc, weight = 956132, value = 0.000526, type = INSECTIVORES
248: It is Beast: name = Sknce, weight = 950391, value = 0.000526, type = INSECTIVORES
249: It is Bird : name = Rdvkn, weight = 982578, value = 0.000526, fly away = TRUE
250: It is Fish : name = Bzidi, weight = 946297, value = 0.000526, place = LAKE
251: It is Fish : name = Ygxem, weight = 991866, value = 0.000526, place = OCEAN
252: It is Beast: name = Silgc, weight = 946235, value = 0.000526, type = PREDATOR
253: It is Beast: name = Erbwk, weight = 963311, value = 0.000526, type = INSECTIVORES
254: It is Beast: name = Qcamf, weight = 927206, value = 0.000526, type = INSECTIVORES
255: It is Beast: name = Upolj, weight = 991776, value = 0.000526, type = PREDATOR
256: It is Beast: name = Iyaac, weight = 925210, value = 0.000526, type = PREDATOR
257: It is Bird : name = Cifhz, weight = 949873, value = 0.000526, fly away = TRUE
258: It is Beast: name = Qazoi, weight = 980263, value = 0.000526, type = PREDATOR
259: It is Bird : name = Qvelq, weight = 989208, value = 0.000527, fly away = TRUE
260: It is Fish : name = Cvrqa, weight = 966418, value = 0.000527, place = SEA
261: It is Bird : name = Ecfgb, weight = 894142, value = 0.000527, fly away = FALSE
262: It is Fish : name = Lfrqx, weight = 996297, value = 0.000527, place = LAKE
263: It is Beast: name = Pbkqu, weight = 977268, value = 0.000527, type = INSECTIVORES
264: It is Bird : name = Bwbdd, weight = 916041, value = 0.000527, fly away = TRUE
265: It is Beast: name = Itiwq, weight = 997323, value = 0.000527, type = PREDATOR
266: It is Fish : name = Uqubf, weight = 976145, value = 0.000528, place = OCEAN
267: It is Beast: name = Bhxdd, weight = 928645, value = 0.000528, type = INSECTIVORES
268: It is Beast: name = Lkfus, weight = 979679, value = 0.000528, type = INSECTIVORES
269: It is Bird : name = Mirpv, weight = 996729, value = 0.000528, fly away = TRUE
270: It is Bird : name = Nelpw, weight = 981432, value = 0.000528, fly away = TRUE
271: It is Fish : name = Glnzi, weight = 977522, value = 0.000528, place = SEA
272: It is Bird : name = Xdfmw, weight = 981268, value = 0.000528, fly away = TRUE
273: It is Fish : name = Pbbfu, weight = 937643, value = 0.000528, place = SEA
274: It is Fish : name = Exhih, weight = 950156, value = 0.000528, place = RIVER
275: It is Bird : name = Cmcpb, weight = 917853, value = 0.000528, fly away = TRUE
276: It is Beast: name = Dlmhk, weight = 938449, value = 0.000529, type = HERBIVORES
277: It is Bird : name = Buael, weight = 925196, value = 0.000529, fly away = TRUE
278: It is Fish : name = Sgeqs, weight = 974316, value = 0.000529, place = OCEAN
279: It is Beast: name = Ihmrq, weight = 970393, value = 0.000529, type = INSECTIVORES
280: It is Beast: name = Vpkfx, weight = 996606, value = 0.000529, type = INSECTIVORES
281: It is Beast: name = Mgrhc, weight = 939791, value = 0.000529, type = INSECTIVORES
282: It is Bird : name = Ogrhy, weight = 985112, value = 0.000529, fly away = FALSE
283: It is Bird : name = Erjgq, weight = 954620, value = 0.000529, fly away = FALSE
284: It is Fish : name = Fiepc, weight = 920507, value = 0.000529, place = OCEAN
285: It is Bird : name = Qtaja, weight = 938891, value = 0.000529, fly away = TRUE
286: It is Bird : name = Rbwlv, weight = 991699, value = 0.000529, fly away = TRUE
287: It is Fish : name = Seqzj, weight = 991691, value = 0.000529, place = RIVER
288: It is Beast: name = Mqrzf, weight = 997293, value = 0.000529, type = HERBIVORES
289: It is Beast: name = Rajpc, weight = 936769, value = 0.000529, type = INSECTIVORES
290: It is Beast: name = Rqjjb, weight = 953763, value = 0.000529, type = PREDATOR
291: It is Beast: name = Cmigr, weight = 940483, value = 0.000530, type = INSECTIVORES
292: It is Bird : name = Kwqwd, weight = 992913, value = 0.000530, fly away = FALSE
293: It is Beast: name = Glvot, weight = 989132, value = 0.000530, type = INSECTIVORES
294: It is Bird : name = Ijvsl, weight = 981474, value = 0.000530, fly away = TRUE
295: It is Fish : name = Kcxik, weight = 955032, value = 0.000530, place = RIVER
296: It is Beast: name = Eyame, weight = 938043, value = 0.000530, type = INSECTIVORES
297: It is Fish : name = Jzmcr, weight = 977591, value = 0.000530, place = RIVER
298: It is Fish : name = Fcwbn, weight = 935959, value = 0.000530, place = RIVER
299: It is Beast: name = Xhkxd, weight = 979354, value = 0.000530, type = HERBIVORES
300: It is Beast: name = Ndiqk, weight = 948844, value = 0.000530, type = HERBIVORES
301: It is Fish : name = Maets, weight = 954432, value = 0.000530, place = LAKE
302: It is Beast: name = Modnj, weight = 950656, value = 0.000530, type = HERBIVORES
303: It is Fish : name = Emkvu, weight = 980822, value = 0.000530, place = RIVER
304: It is Bird : name = Yzaks, weight = 999681, value = 0.000530, fly away = TRUE
305: It is Bird : name = Bokyr, weight = 978417, value = 0.000530, fly away = TRUE
306: It is Fish : name = Jppfl, weight = 957591, value = 0.000530, place = SEA
307: It is Bird : name = Krlem, weight = 955669, value = 0.000531, fly away = FALSE
308: It is Beast: name = Ycjqc, weight = 953703, value = 0.000531, type = PREDATOR
309: It is Beast: name = Aqekh, weight = 923431, value = 0.000531, type = HERBIVORES
310: It is Fish : name = Qvphf, weight = 974212, value = 0.000531, place = LAKE
311: It is Fish : name = Pzvfg, weight = 989253, value = 0.000531, place = LAKE
312: It is Bird : name = Ofcoe, weight = 926947, value = 0.000531, fly away = FALSE
313: It is Bird : name = Qnixg, weight = 977747, value = 0.000531, fly away = TRUE
314: It is Fish : name = Fgnbp, weight = 928702, value = 0.000531, place = SEA
315: It is Beast: name = Qklrh, weight = 968199, value = 0.000531, type = HERBIVORES
316: It is Bird : name = Qpyfq, weight = 996279, value = 0.000531, fly away = FALSE
317: It is Fish : name = Kdyzp, weight = 998050, value = 0.000531, place = SEA
318: It is Bird : name = Bxxvg, weight = 992394, value = 0.000531, fly away = TRUE
319: It is Beast: name = Rqzgi, weight = 988406, value = 0.000531, type = INSECTIVORES
320: It is Bird : name = Nrbzp, weight = 986508, value = 0.000531, fly away = TRUE
321: It is Beast: name = Aqsla, weight = 937518, value = 0.000531, type = INSECTIVORES
322: It is Beast: name = Ovkdl, weight = 963704, value = 0.000531, type = HERBIVORES
323: It is Bird : name = Asxog, weight = 967271, value = 0.000531, fly away = FALSE
324: It is Bird : name = Dnpec, weight = 921925, value = 0.000531, fly away = FALSE
325: It is Fish : name = Psvar, weight = 985785, value = 0.000532, place = OCEAN
326: It is Fish : name = Ahiod, weight = 912407, value = 0.000532, place = LAKE
327: It is Beast: name = Slire, weight = 961184, value = 0.000532, type = HERBIVORES
328: It is Bird : name = Kybtt, weight = 989294, value = 0.000532, fly away = TRUE
329: It is Bird : name = Pxsah, weight = 970398, value = 0.000532, fly away = FALSE
330: It is Beast: name = Ynfqt, weight = 996554, value = 0.000532, type = PREDATOR
331: It is Beast: name = Uwqua, weight = 998175, value = 0.000532, type = INSECTIVORES
332: It is Beast: name = Fwqhz, weight = 992445, value = 0.000532, type = HERBIVORES
333: It is Fish : name = Sskfq, weight = 977368, value = 0.000532, place = OCEAN
334: It is Bird : name = Loefg, weight = 926560, value = 0.000532, fly away = TRUE
335: It is Beast: name = Utxpa, weight = 996035, value = 0.000532, type = HERBIVORES
336: It is Beast: name = Paimc, weight = 920710, value = 0.000532, type = INSECTIVORES
337: It is Bird : name = Jdhwa, weight = 927867, value = 0.000532, fly away = FALSE
338: It is Bird : name = Azdoy, weight = 974791, value = 0.000532, fly away = FALSE
339: It is Fish : name = Wgrjj, weight = 969033, value = 0.000532, place = SEA
340: It is Fish : name = Ucrzh, weight = 983961, value = 0.000533, place = LAKE
341: It is Fish : name = Aiqau, weight = 933062, value = 0.000533, place = OCEAN
342: It is Beast: name = Vmljp, weight = 978024, value = 0.000533, type = INSECTIVORES
343: It is Fish : name = Mdvao, weight = 944135, value = 0.000533, place = OCEAN
344: It is Bird : name = Qpnjf, weight = 959112, value = 0.000533, fly away = TRUE
345: It is Fish : name = Fnfme, weight = 923416, value = 0.000533, place = RIVER
346: It is Fish : name = Eoyqn, weight = 983270, value = 0.000533, place = SEA
347: It is Beast: name = Hssmk, weight = 971373, value = 0.000533, type = INSECTIVORES
348: It is Beast: name = Yhagz, weight = 965507, value = 0.000533, type = HERBIVORES
349: It is Beast: name = Pokkw, weight = 982347, value = 0.000533, type = INSECTIVORES
350: It is Bird : name = Gepxs, weight = 972428, value = 0.000534, fly away = FALSE
